ISRN_KIND_DTCD,ISRN_KIND_ITCD,ISRN_KIND_SALE_NM,PROD_DTCD,PROD_ITCD,PROD_SALE_NM,ISRN_TERM_INQY_CODE,PAYM_TERM_INQY_CODE,ISRN_TERM_DVSN_CODE,ISRN_TERM,PAYM_TERM_DVSN_CODE,PAYM_TERM,MINU_MIN_AG,MINU_MAX_AG,MIN_FPIN,MAX_FPIN,FPIN_DVSN_CODE,MINU_GNDR_CODE,STAR_CTDT,END_CTDT,MIN_SPIN_STRT_AG,MAX_SPIN_STRT_AG,SPIN_STRT_AG_DVSN_CODE,AINU_MIN_AG,AINU_MAX_AG,MIN_MTPM_PREM,MAX_MTPM_PREM,CHLR_ODN1_MIN_AG,CHLR_ODN1_MAX_AG,MNTH_PAYM_YN,AINU_GNDR_CODE,MIN_PAYM_CYCL_VAL,MAX_PAYM_CYCL_VAL,PAYM_CYCL_DVSN_CODE,CHLR_ODN1_GNDR_CODE,MIN_POLR_AG,MAX_POLR_AG,CRTN_GURT_OTPY_TERM,CHLR_ODN2_MIN_AG,CHLR_ODN2_MAX_AG,MIN_DPND_AG,MAX_DPND_AG,PURT_RSTY_YN,BEFO_CNTC_MIN_ISRN_TERM,BEFO_CNTC_MAX_ISRN_TERM,BEFO_CNTC_ISRN_TERM_DVSN_CODE
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X81,N5,X,81,N,5,,,,,,,,,61,61,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X81,N7,X,81,N,7,,,,,,,,,61,61,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X81,N10,X,81,N,10,,,,,,,,,61,61,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X81,N15,X,81,N,15,,,,,,,,,61,61,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X81,N20,X,81,N,20,,,,,,,,,61,61,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X81,X61,X,81,X,61,,,,,,,,,61,61,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X82,N5,X,82,N,5,,,,,,,,,62,62,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X82,N7,X,82,N,7,,,,,,,,,62,62,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X82,N10,X,82,N,10,,,,,,,,,62,62,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X82,N15,X,82,N,15,,,,,,,,,62,62,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X82,N20,X,82,N,20,,,,,,,,,62,62,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X82,X62,X,82,X,62,,,,,,,,,62,62,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X83,N5,X,83,N,5,,,,,,,,,63,63,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X83,N7,X,83,N,7,,,,,,,,,63,63,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X83,N10,X,83,N,10,,,,,,,,,63,63,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X83,N15,X,83,N,15,,,,,,,,,63,63,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X83,N20,X,83,N,20,,,,,,,,,63,63,X,,,,,,,,,,,,,,,,,,,,,,,
