ISRN_KIND_DTCD,ISRN_KIND_ITCD,ISRN_KIND_SALE_NM,PROD_DTCD,PROD_ITCD,PROD_SALE_NM,VALD_STAR_DATE,VALD_END_DATE,FPIN_STRT_AG_INQY_CODE,SPIN_STRT_AG_INQY_CODE,TPIN_STRT_AG_INQY_CODE,FPIN_STRT_DVSN_CODE,FPIN_STRT_DVSN_VAL,SPIN_STRT_DVSN_CODE,SPIN_STRT_DVSN_VAL,TPIN_STRT_DVSN_CODE,TPIN_STRT_DVSN_VAL,MIN_FPIN,MAX_FPIN,FPIN_DVSN_CODE,MINU_GNDR_CODE,GURT_NBYR_DVSN_CODE,MIN_PAYM_TERM,MAX_PAYM_TERM,PAYM_TERM_DVSN_CODE,MINU_MIN_AG,MINU_MAX_AG,MIN_MTPM_PREM,MAX_MTPM_PREM
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X62,00,0,0,X,62,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X63,00,0,0,X,63,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X64,00,0,0,X,64,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X65,00,0,0,X,65,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X66,00,0,0,X,66,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X67,00,0,0,X,67,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X68,00,0,0,X,68,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X69,00,0,0,X,69,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X70,00,0,0,X,70,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X71,00,0,0,X,71,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X72,00,0,0,X,72,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X73,00,0,0,X,73,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X74,00,0,0,X,74,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X75,00,0,0,X,75,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X76,00,0,0,X,76,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X77,00,0,0,X,77,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X78,00,0,0,X,78,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X79,00,0,0,X,79,0,0,,,,,,,,,,,,
1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,1571,613,한화생명 연금보험Enterprise(거치형 확정기간연금플러스형 20년형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X80,00,0,0,X,80,0,0,,,,,,,,,,,,
1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X45,00,0,0,X,45,0,0,,,,,,,,,,,,
1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X46,00,0,0,X,46,0,0,,,,,,,,,,,,
1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X47,00,0,0,X,47,0,0,,,,,,,,,,,,
1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X48,00,0,0,X,48,0,0,,,,,,,,,,,,
1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X49,00,0,0,X,49,0,0,,,,,,,,,,,,
1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X50,00,0,0,X,50,0,0,,,,,,,,,,,,
1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,1571,614,한화생명 연금보험Enterprise(거치형 상속연금플러스형)(개별) 무배당,2022-04-16 00:00:00,9999-12-31 00:00:00,0,X51,00,0,0,X,51,0,0,,,,,,,,,,,,
